S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
125,Guinea,"22,304",,145 ,,"19,776",,"2,383",24,"1,661",11,"434,198","32,336","13,427,670 ",Africa,"60292,60531",,,177,,,,,
126,Réunion,"20,381",,148 ,,"18,659",,"1,574",36,"22,629",164,"101,244","112,413","900,640 ",Africa,"446,0859",,,"1,748",,,,,
127,Mayotte,"20,094",,170 ,,"2,964",,"16,960",3,"72,210",611,"171,277","615,507","278,270 ",Africa,"141,6372",,,"60,948",,,,,
128,French Guiana,"19,543",,101 ,,"9,995",,"9,447",20,"64,056",331,"216,365","709,175","305,094 ",South America,"163,0211",,,"30,964",,,,,
129,French Polynesia,"18,758",,141 ,,"18,597",,20,3,"66,456",500,"26,355","93,370","282,263 ",Australia/Oceania,"152,00211",,,71,,,,,
130,Eswatini,"18,458",,671 ,,"17,748",,39,3,"15,774",573,"187,111","159,901","1,170,171 ",Africa,"631,7446",,,33,,,,,
131,Mauritania,"18,448",,455 ,,"17,725",,268,14,"3,883",96,"235,531","49,576","4,750,861 ",Africa,"25810,44120",,,56,,,,,
132,Guadeloupe,"14,555",,198 ,,"2,242",,"12,115",18,"36,371",495,"180,000","449,796","400,181 ",North America,"272,0212",,,"30,274",,,,,
133,Cambodia,"14,520",,103 ,,"5,369",,"9,048",,859,6,"914,398","54,070","16,911,475 ",Asia,"1,165164,18918",,,535,,,,,
134,Somalia,"13,915",,713 ,,"5,847",,"7,355",,856,44,"111,801","6,876","16,260,156 ",Africa,"1,16922,805145",,,452,,,,,
135,Mali,"13,915",,489 ,,"8,733",,"4,693",,671,24,"256,512","12,372","20,733,348 ",Africa,"1,49042,39981",,,226,,,,,
136,Guyana,"13,518",,299 ,,"11,383",,"1,836",14,"17,117",379,"124,340","157,448","789,720 ",South America,"582,6416",,,"2,325",,,,,
137,Burkina Faso,"13,319",,157 ,,"13,053",,109,,623,7,"179,998","8,420","21,377,692 ",Africa,"1,605136,164119",,,5,,,,,
138,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,370",9,,,"9,715,298 ",Asia,"730107,948",,,,,,,,
139,Andorra,"13,282",,127 ,,"12,753",,402,18,"171,673","1,642","193,595","2,502,262","77,368 ",Europe,66090,,,"5,196",,,,,
140,Haiti,"13,094",,254 ,,"12,148",,692,,"1,137",22,"60,085","5,217","11,518,248 ",North America,"88045,347192",,,60,,,,,
141,Togo,"13,010",,123 ,,"11,269",,"1,618",,"1,542",15,"312,269","37,001","8,439,570 ",Africa,"64968,61427",,,192,,,,,
142,Belize,"12,668",,323 ,,"12,218",,127,1,"31,386",800,"117,641","291,462","403,624 ",North America,"321,2503",,,315,,,,,
143,Curaçao,"12,210",,111 ,,"11,711",,388,22,"74,156",674,"95,915","582,528","164,653 ",North America,"131,4832",,,"2,356",,,,,
144,Hong Kong,"11,785",,210 ,,"11,445",,130,3,"1,561",28,"11,193,673","1,483,060","7,547,688 ",Asia,"64035,9411",,,17,,,,,
145,Trinidad and Tobago,"11,313",,174 ,,"8,633",,"2,506",8,"8,062",124,"132,776","94,619","1,403,272 ",North America,"1248,06511",,,"1,786",,,,,
146,Martinique,"11,253",,75 ,,98,,"11,080",33,"30,006",200,"157,145","419,029","375,022 ",North America,"335,0002",,,"29,545",,,,,
147,Papua New Guinea,"11,206",,115 ,,"9,475",,"1,616",,"1,233",13,"93,283","10,265","9,087,763 ",Australia/Oceania,"81179,02497",,,178,,,,,
148,Djibouti,"11,157",,146 ,,"10,816",,195,,"11,158",146,"149,918","149,925","999,951 ",Africa,"906,8497",,,195,,,,,
149,Lesotho,"10,733",,318 ,,"6,267",,"4,148",,"4,977",147,"80,556","37,357","2,156,408 ",Africa,"2016,78127",,,"1,924",,,,,
